Respondent	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Degree	AssistYN	Assistantship	Hours	College
1	3	2	2	2	2	3	3	2	PhD	Yes			
2	3	4	5	4	1	4	4	3	PhD	Yes	GRA	20	College of Agricultural and Environmental Sciences
3	5	5	5	5	5	5	5	5	PhD	Yes	GRA		College of Agricultural and Environmental Sciences
4	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Agricultural and Environmental Sciences
5	5	4	4	2	3	5	5	5	PhD	Yes	GRA	20	College of Agricultural and Environmental Sciences
6	4	3	3	3	2	5	5	5	Masters	Yes	GTA		College of Agricultural and Environmental Sciences
7	4	5	4	3	4	4	5	3	PhD	Yes	GRA	16	College of Agricultural and Environmental Sciences
8	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Agricultural and Environmental Sciences
9	3	5	3	3	3	5	5	4	PhD	Yes	GRA	18	College of Agricultural and Environmental Sciences
10	3	2	2	3	2	5	5	5	Masters	Yes	GRA	17	College of Agricultural and Environmental Sciences
11	5	5	4	3	3	5	5	5	PhD	Yes	GRA	20	College of Agricultural and Environmental Sciences
12	5	5	5	5	5	5	5	5	PhD	Yes	GLA,GRA	13	College of Agricultural and Environmental Sciences
13	2	4	2	3	5	5	5	5	PhD	Yes	GTA,GRA	20	College of Agricultural and Environmental Sciences
14	3	3	3	2	1	3	3	5	Masters	Yes	GRA	20	College of Agricultural and Environmental Sciences
15	5	5	5	5	5	5	5	5	PhD	Yes	GTA,GRA	20	College of Agricultural and Environmental Sciences
16	5	5	5	5	2	5	5	5	PhD	Yes	GRA	18	College of Agricultural and Environmental Sciences
17	5	5	5	5	5	2	5	3	PhD	Yes			
18	5	5	5	5	5	5	4	5	PhD	Yes	GRA		College of Agricultural and Environmental Sciences
19	4	5	4	3	2	5	5	4	Masters	Yes	GRA		College of Agricultural and Environmental Sciences
20	4	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Agricultural and Environmental Sciences
21	4	4	4	5	5	5	5	5	PhD	Yes	GRA	18	College of Agricultural and Environmental Sciences
22	5	5	5	5	5	5	5	5	PhD	Yes	GLA,GRA	13	College of Agricultural and Environmental Sciences
23	5	5	5	5	4	5	4	5	PhD	Yes	GTA,GRA	20	College of Agricultural and Environmental Sciences
24	1	3	2	2	3	4	3	5	Masters	Yes	GRA	Unknown	College of Agricultural and Environmental Sciences
25	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Agricultural and Environmental Sciences
26	2	3	2	3	3	3	4	4	Masters	Yes	GRA	20	College of Agricultural and Environmental Sciences
27	3	3	3	4	3	5	4	5	PhD	Yes	GLA	20	College of Agricultural and Environmental Sciences
28	5	5	5	5	3	5	5	5	PhD	Yes	GRA	16	College of Agricultural and Environmental Sciences
29	4	5	2	5	5	5	5	5	Masters	Yes	GRA		College of Agricultural and Environmental Sciences
30	3	5	4	1	2	5	3	4	Masters	Yes	GRA	20	College of Agricultural and Environmental Sciences
31	5	2	4	4	5	4	4	5	PhD	Yes	GRA	20	College of Agricultural and Environmental Sciences
32	4	5	4	2	3	5	4	5	PhD	Yes	GTA,GRA	18	Office of Research
33	4	5	3	5	5	5	5	5	PhD	Yes	GTA	20	Mary Frances Early College of Education
34	1	2	2	2	2	5	2	5	PhD	Yes	GA	18	Mary Frances Early College of Education
35	2	4	3	1	4	5	3	3	PhD	Yes	GRFA	20	Franklin College of Arts and Sciences
36	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Public Health
37	2	2	2	2	0	5	4	5	PhD	Yes	GTA,GRA	20	College of Public Health
38	4	5	3	4	3	5	4	4	PhD	No			
39	2	2	2	2	3	4	3	4	PhD	Yes	GA	13	Mary Frances Early College of Education
40	3	5	3	5	5	5	5	2	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
41	2	3	5	3	0	5	5	5	PhD	ExternalOther			
42	0	5	2	0	0	5	3	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
43	5	5	5	3	5	5	5	5	PhD	Yes	GRA	More than 20	Franklin College of Arts and Sciences
44	5	5	2	5	2	5	5	2	PhD	Yes	GTA,GRA	20	College of Veterinary Medicine
45	5	5	5	5	5	5	5	5	PhD	Yes	GRA	19	Franklin College of Arts and Sciences
46	2	2	2	2	5	2	5	5	PhD	Yes	GTA	13	Graduate School
47	2	3	2	2	5	5	5	5	PhD	Yes	GRA	More than 20	College of Veterinary Medicine
48	1	4	4	0	4	5	0	2	PhD	Yes	GTA	17	Franklin College of Arts and Sciences
49	1	1	1	0	0	5	4	4	PhD	Yes	GLA	19	Franklin College of Arts and Sciences
50	5	5	5	5	5	5	5	5	PhD	Yes	GRA	18	Franklin College of Arts and Sciences
51	3	4	3	5	5	5	5	3	PhD	Yes	GLA,GRA	18	Franklin College of Arts and Sciences
52	5	5	5	1	2	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
53	3	4	5	4	5	5	5	5	PhD	Yes	GLA,GRA	18	Franklin College of Arts and Sciences
54	5	5	5	3	5	5	5	5	PhD	Yes	GRA	16	College of Engineering
55	5	5	5	5	0	5	0	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
56	5	3	2	0	5	5	5	5	PhD	Yes	GRA		
57	5	5	5	5	5	5	5	5	PhD	Yes	GRA	19	Franklin College of Arts and Sciences
58	5	5	5	5	5	5	5	5	Masters	No			
59	0	0	0	2	4	1	4	5	PhD	Yes	GRA	More than 20	Franklin College of Arts and Sciences
60	5	5	5	5	5	5	5	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
61	5	5	5	5	2	3	1	5	PhD	Yes	GTA	More than 20	Franklin College of Arts and Sciences
62	3	5	2	3	1	5	2	5	PhD	Yes	GRA	20	Odum School of Ecology
63	3	5	5	4	5	5	5	5	PhD	ExternalOther			
64	0	2	2	0	0	5	2	5	PhD	Yes	GTA	17	Franklin College of Arts and Sciences
65	5	5	5	3	5	5	5	5	PhD	Yes	GA	20	Franklin College of Arts and Sciences
66	2	3	2	0	1	5	1	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
67	5	5	5	1	5	5	1	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
68	5	5	5	5	5	5	5	5	PhD	Yes	GTA,GRA		
69	4	5	5	2	5	5	5	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
70	5	5	5	5	5	5	5	5	Masters	No			
71	0	0	0	0	0	0	0	3	Masters	No			
72	5	5	5	5	5	5	5	5	PhD	Yes	GRA	13	College of Family and Consumer Sciences
73	0	0	0	0	1	5	4	5	Masters	Yes	GA	13	Terry College of Business
74	4	5	5	2	5	5	5	5	PhD	Yes	GRA	17	Franklin College of Arts and Sciences
75	0	0	5	0	3	5	0	5	Masters	Yes	GRA	13	College of Family and Consumer Sciences
76	1	4	2	2	3	5	3	5	PhD	Yes	GTA,GRA	20	Odum School of Ecology
77	1	5	1	1	1	5	1	3	PhD	Yes	GTA	17	Franklin College of Arts and Sciences
78	5	3	4	4	5	5	4	5	PhD	Yes	GTA,GRA	18	Odum School of Ecology
79	5	5	5	4	5	5	5	5	PhD	Yes	GRA	18	Franklin College of Arts and Sciences
80	3	1	3	2	5	5	5	5	PhD	Yes	GTA,GLA	20	Franklin College of Arts and Sciences
81	5	4	5	3	3	5	5	5	Masters	Yes	GTA	18	Franklin College of Arts and Sciences
82	5	5	5	5	5	5	5	5	PhD	Yes	GTA	20	College of Veterinary Medicine
83	5	5	5	5	5	5	5	5	PhD	Yes	GRA	More than 20	College of Veterinary Medicine
84	5	5	5	4	4	5	5	5	PhD	Yes	GRA	20	College of Public Health
85	4	4	4	3	4	5	3	3	Masters	Yes	GRA	17	Odum School of Ecology
86	5	5	5	5	5	5	4	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
87	0	0	3	2	4	5	1	0	PhD	Yes	GRFA	13	Franklin College of Arts and Sciences
88	0	1	0	1	4	2	3	2	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
89	0	2	0	3	0	0	5	3	PhD	Yes	GRA	18	Franklin College of Arts and Sciences
90	5	5	5	5	5	5	5	5	Masters	Yes	GRA	20	Odum School of Ecology
91	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
92	2	2	4	1	5	5	5	4	PhD	Yes	GTA	20	Terry College of Business
93	5	5	5	5	5	5	5	5	PhD	Yes	GTA	13	College of Family and Consumer Sciences
94	0	0	0	0	0	5	0	3	Masters	Yes	GTA	13	College of Family and Consumer Sciences
95	3	3	5	5	5	5	5	5	Masters	Yes	GA	Unknown	Franklin College of Arts and Sciences
96	0	0	0	0	4	5	5	5	PhD	Yes	GTA,GRA	20	Mary Frances Early College of Education
97	5	5	4	5	4	5	2	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
98	5	5	5	5	5	5	5	5	PhD	Yes	GTA,GRA	20	College of Veterinary Medicine
99	3	5	4	4	0	5	5	5	PhD	Yes	GRA	17	College of Agricultural and Environmental Sciences
100	5	5	5	5	5	5	5	5	PhD	Yes	GRA	Unknown	College of Veterinary Medicine
101	3	4	3	3	4	5	5	5	PhD	Yes	GA	20	Franklin College of Arts and Sciences
102	5	5	5	5	5	5	5	5	Masters	Yes	GRA	18	Franklin College of Arts and Sciences
103	5	5	5	5	3	5	5	5	PhD	Yes	GTA	20	College of Pharmacy
104	2	3	2	4	2	3	1	4	PhD	Yes		20	Franklin College of Arts and Sciences
105	2	3	3	3	5	5	5	5	PhD	Yes	GTA	18	College of Pharmacy
106	5	5	5	5	0	5	5	5	PhD	Yes	GTA,GRA	20	Franklin College of Arts and Sciences
107	0	0	0	0	0	5	2	5	Masters	No			
108	4	1	5	5	2	5	3	5	PhD	Yes	GTA	18	Odum School of Ecology
